userID,followerID
3682,5276
5276,3682
13232,18205
13232,63255
15574,15926
15926,15574
18205,13232
19628,19821
19628,20033
19821,19628
20033,19628
22196,76473
23503,41422
31866,32002
32002,31866
32173,32452
32452,32173
33099,62167
33884,34046
33884,34101
34046,33884
34101,33884
40704,40997
40704,41039
40997,40704
40997,41039
40997,62623
40997,201063
41039,40704
41039,40997
41422,23503
58783,58875
58875,58783
60887,70696
62167,33099
62623,40997
63255,13232
63255,65435
65411,65435
65435,63255
65435,65411
65435,93260
70696,60887
70696,70772
70772,70696
76473,22196
78182,78464
78464,78182
80092,80096
80096,80092
89222,89350
89350,89222
93260,65435
93260,93427
93427,93260
100591,100721
100721,100591
102898,122546
122546,102898
134409,134410
134410,134409
135546,135684
135684,135546
192865,192899
192899,192865
201063,40997
201078,201607
201607,201078
